TerritoryID;TerritoryName;OrderDate;OrderVolume
4;Southwest;2012-07-31;1158624,9639
4;Southwest;2012-06-30;1005680,3338
4;Southwest;2013-03-30;897291,891
4;Southwest;2012-09-30;881827,0955
4;Southwest;2013-07-31;876675,8984
4;Southwest;2013-05-30;862951,2639
1;Northwest;2013-06-30;829232,9047
7;France;2013-06-30;803118,0224
6;Canada;2013-10-30;803033,1612
6;Canada;2013-07-31;767758,21
4;Southwest;2012-10-30;762508,4868
4;Southwest;2013-06-30;757579,6637
6;Canada;2012-06-30;744771,9151
4;Southwest;2012-12-31;726014,3873
7;France;2013-09-30;722043,7886
6;Canada;2012-05-30;719788,179
4;Southwest;2013-04-30;709923,9308
4;Southwest;2013-08-30;703444,2631
7;France;2014-03-31;694390,3379
4;Southwest;2012-03-30;688517,312
1;Northwest;2013-07-31;687936,4584
4;Southwest;2014-05-01;675253,2898
1;Northwest;2013-09-30;672960,3027
4;Southwest;2014-03-01;666352,246
4;Southwest;2014-03-31;664173,3844
6;Canada;2014-05-01;663937,639
4;Southwest;2013-10-30;662111,237
4;Southwest;2013-09-30;650670,2164
6;Canada;2013-06-30;645957,2762
1;Northwest;2014-03-31;640355,3651
1;Northwest;2011-10-01;637011,0518
6;Canada;2012-07-31;635333,981
1;Northwest;2012-06-30;625350,6652
1;Northwest;2014-05-01;591455,4869
1;Northwest;2013-10-30;587748,2736
4;Southwest;2013-12-31;582021,7808
1;Northwest;2012-09-30;581605,7581
6;Canada;2012-09-30;574786,6402
6;Canada;2013-05-30;567523,114
4;Southwest;2012-01-01;565835,5353
10;United Kingdom;2013-07-31;561617,1841
4;Southwest;2012-05-30;560045,4051
4;Southwest;2011-10-31;556678,0627
6;Canada;2012-10-30;551040,1532
1;Northwest;2013-03-30;544477,5501
1;Northwest;2012-01-01;541090,869
7;France;2013-12-31;538067,4011
4;Southwest;2013-11-30;534646,9134
6;Canada;2013-03-30;528995,697
6;Canada;2014-01-29;526176,4338
4;Southwest;2014-01-29;524906,9994
4;Southwest;2011-10-01;523061,2641
1;Northwest;2013-12-31;513610,7941
1;Northwest;2012-03-30;506076,5993
5;Southeast;2011-10-01;503701,3098
6;Canada;2013-04-30;499365,8082
1;Northwest;2014-01-29;497608,8079
6;Canada;2013-02-28;494395,9182
4;Southwest;2013-01-28;494260,7207
6;Canada;2013-09-30;491018,1676
